Año,Poblacion México,Poblacion Mundo,Población Benito Juárez,Población Resto de Quintana Roo,Población Todo de Quintana Roo
1910,15.160.369,1.750.000.000,,,9.100
1921,14.334.780,1.860.000.000,,,11.000
1930,16.552.722,2.070.000.000,,,10.600
1940,19.653.552,2.300.000.000,,,18.800
1950,25.791.017,2.520.000.000,,,27.000
1960,34.923.129,3.021.512.598,,50.200,50.200
1970,48.225.238,3.680.589.045,6.867,81.283,88.150
1980,66.846.833,4.437.602.892,37.190,188.795,225.985
1990,81.249.645,5.299.246.757,176.765,316.512,493.277
2000,97.483.412,6.161.884.811,419.815,455.148,874.963
2010,112.336.538,7.001.266.876,659.311,660.174,1.319.485
2020,126.014.024,7.855.075.060,911.503,946.482,1.857.985
2025,,,,,
